timestamp_s,elapsed_s,memory_current_bytes,memory_high_bytes,memory_max_bytes,evt_low,evt_high,evt_max,evt_oom,evt_oom_kill,anon_bytes,file_bytes,pgfault,pgmajfault,pod_memory_min_bytes
1773698188.564690723,153.243741668,524775424,483180544,536870912,0,6952,0,0,0,523472896,0,129896,7,268435456
1773698190.579827055,155.258878000,525312000,483180544,536870912,0,7037,0,0,0,523485184,0,129964,7,268435456
1773698192.594361014,157.273411959,525328384,483180544,536870912,0,7105,0,0,0,523759616,0,129966,7,268435456
1773698194.609267822,159.288318767,525344768,483180544,536870912,0,7173,0,0,0,523780096,0,129971,7,268435456
1773698196.623822096,161.302873041,525619200,483180544,536870912,0,7241,0,0,0,524050432,0,130037,7,268435456
1773698198.645239656,163.324290601,525893632,483180544,536870912,0,7309,0,0,0,524324864,0,130104,7,268435456
1773698200.659900573,165.338951518,526168064,483180544,536870912,0,7377,0,0,0,524607488,0,130173,7,268435456
1773698202.676046249,167.355097194,525926400,483180544,536870912,0,7445,0,0,0,524615680,0,130175,7,268435456
1773698204.690560573,169.369611518,526196736,483180544,536870912,0,7496,0,0,0,524894208,0,130243,7,268435456
1773698206.705138869,171.384189814,526471168,483180544,536870912,0,7564,0,0,0,524902400,0,130245,7,268435456
1773698208.730235667,173.409286612,526483456,483180544,536870912,0,7615,0,0,0,525176832,0,130312,7,268435456
1773698210.744449062,175.423500007,526499840,483180544,536870912,0,7683,0,0,0,525197312,0,130317,7,268435456
1773698212.758492178,177.437543123,526512128,483180544,536870912,0,7734,0,0,0,525205504,0,130319,7,268435456
1773698214.774039523,179.453090468,526528512,483180544,536870912,0,7802,0,0,0,525217792,0,130322,7,268435456
1773698216.789216363,181.468267308,526540800,483180544,536870912,0,7853,0,0,0,525234176,0,130326,7,268435456
1773698218.812644528,183.491695473,526815232,483180544,536870912,0,7921,0,0,0,525250560,0,130330,7,268435456
1773698220.827322529,185.506373474,526827520,483180544,536870912,0,7972,0,0,0,525524992,0,130397,7,268435456
1773698222.841718992,187.520769937,526843904,483180544,536870912,0,8040,0,0,0,525537280,0,130400,7,268435456
1773698224.856153487,189.535204432,526856192,483180544,536870912,0,8091,0,0,0,525553664,0,130404,7,268435456
1773698226.871144509,191.550195454,527130624,483180544,536870912,0,8159,0,0,0,525824000,0,130470,7,268435456
